Date,Open,High,Low,Close,Volume,Market Cap
4-Nov-18,6365.47,6388.63,6294.57,6376.13," 4,390,020,000.00 "," 110,689,215,104.00 "
3-Nov-18,6387.24,6400.07,6342.37,6361.26," 3,658,640,000.00 "," 110,421,212,888.00 "
2-Nov-18,6378.92,6396.86,6327.38,6388.44," 4,234,870,000.00 "," 110,880,236,966.00 "
1-Nov-18,6318.14,6547.14,6311.83,6377.78," 3,789,400,000.00 "," 110,683,820,788.00 "
31-Oct-18,6336.99,6349.16,6316.88,6317.61," 4,191,240,000.00 "," 109,627,117,226.00 "
30-Oct-18,6337.04,6364.99,6310.14,6334.27," 3,781,100,000.00 "," 109,903,543,419.00 "
29-Oct-18,6492.35,6503.6,6306.99,6332.63," 4,199,910,000.00 "," 109,862,898,081.00 "
28-Oct-18,6482.66,6502.28,6447.91,6486.39," 3,445,190,000.00 "," 112,518,434,372.00 "
27-Oct-18,6480.84,6507.41,6453.53,6480.38," 3,393,250,000.00 "," 112,403,001,148.00 "
26-Oct-18,6468.44,6498.29,6449.61,6474.75," 3,306,050,000.00 "," 112,294,341,019.00 "
25-Oct-18,6484.65,6504.65,6447.03,6476.29," 3,230,550,000.00 "," 112,309,554,478.00 "
24-Oct-18,6478.89,6521.99,6468.86,6495.84," 3,424,670,000.00 "," 112,637,293,966.00 "
23-Oct-18,6472.36,6506.01,6451.27,6475.74," 3,716,150,000.00 "," 112,279,779,884.00 "
22-Oct-18,6486.05,6543.8,6462.98,6487.16," 3,672,860,000.00 "," 112,465,213,723.00 "
21-Oct-18,6490.09,6556.38,6476,6482.35," 3,253,610,000.00 "," 112,369,106,369.00 "
20-Oct-18,6460.92,6497.72,6449,6489.19," 3,379,130,000.00 "," 112,476,559,221.00 "
19-Oct-18,6478.07,6493.68,6445.31,6465.41," 3,578,870,000.00 "," 112,052,990,522.00 "
18-Oct-18,6542.33,6567.54,6450.04,6476.71," 3,924,080,000.00 "," 112,237,252,159.00 "
